id;link;frage;antwort
275;https://www.hensche.de/Rechtsanwalt_Arbeitsrecht_Handbuch_Betriebsratsmitglied.html;Welche Geheimhaltungspflichten haben Betriebsratsmitglieder zu beachten? ; Gemäß § 79 Abs.1 BetrVG sind die Mitglieder und Ersatzmitglieder des Betriebsrats dazu verpflichtet, Betriebs- oder Geschäftsgeheimnisse, die ihnen wegen ihrer Zugehörigkeit zum Betriebsrat bekannt geworden und vom Arbeitgeber ausdrücklich als geheimhaltungsbedürftig bezeichnet worden sind, nicht zu offenbaren und nicht zu verwerten. Diese Geheimhaltungspflicht besteht nach dem Ausscheiden aus dem Betriebsrat fort. Sie gilt allerdings nicht gegenüber Mitgliedern des Betriebsrats sowie gegenüber dem Gesamtbetriebsrat und dem Konzernbetriebsrat sowie im Verfahren vor der Einigungsstelle. Die Geheimhaltungspflicht nach dieser Vorschrift setzt zunächst voraus, dass ein Betriebs- oder Geschäftsgeheimnis objektiv vorliegt, d.h. ein Umstand, dessen Geheimhaltung für den Betrieb oder das Unternehmen wichtig ist (materielles Geheimnis). Das sind beispielsweise Kundenlisten, Preislisten, Konstruktionspläne und dergleichen, nicht aber beliebige Umstände, die der Arbeitgeber als vertraulich bezeichnet. Eine Tatsache, die kein materielles Geheimnis darstellt, wird demzufolge nicht dadurch zu einem Betriebs- oder Geschäftsgeheimnis, dass Arbeitgeber sie als vertraulich bezeichnet. Liegt ein Betriebs- oder Geschäftsgeheimnis in diesem Sinne vor (materielles Geheimnis), muss der Arbeitgeber dieses auch ausdrücklich als geheimhaltungsbedürftig bezeichnen, um die Geheimhaltungspflicht des Betriebsrats auszulösen (formelles Geheimnis). Schließlich verlangt § 79 Abs.1 BetrVG, dass das Betriebsratsmitglied wegen seiner Zugehörigkeit zum Betriebsrat von einem Betriebs- oder Geschäftsgeheimnis Kenntnis erlangt hat. Hat das Betriebsratsmitglied auf andere Weise, etwa als Arbeitnehmer, Kenntnis von einem solchen Geheimnis erhalten, besteht keine Geheimhaltungspflicht nach § 79 Abs.1 BetrVG. In einem solchen Fall wird aber in der Regel die das Betriebsratsmitglied als Arbeitnehmer treffende arbeitsvertragliche (Neben-)Pflicht zur Verschwiegenheit eingreifen. Zur Geheimhaltung können Betriebsratsmitglieder darüber hinaus verpflichtet sein, wenn sie im Zusammenhang mit personellen Einzelmaßnahmen wie Einstellungen, Eingruppierungen oder Kündigungen über persönliche Verhältnisse und Angelegenheiten von Arbeitnehmern informiert wurden. Soweit solche Dinge „einer vertraulichen Behandlung bedürfen“, haben Betriebsratsmitglieder hierüber Stillschweigen zu bewahren (§ 99 Abs.1 Satz 3, 102 Abs.2 Satz 5 BetrVG).  
276;https://www.hensche.de/Rechtsanwalt_Arbeitsrecht_Handbuch_Betriebsratsmitglied.html;Welche Möglichkeiten haben Mitglieder des Betriebsrats, sich fortzubilden? ;" Betriebsratsmitglieder haben einen in § 37 Abs.6 und 7 BetrVG geregelten Anspruch auf Freistellung zur Teilnahme an Schulungs- und Bildungsveranstaltungen. Nach § 37 Abs.6 BetrVG sind Mitglieder des Betriebsrats unter Fortzahlung der Vergütung von der Arbeit freizustellen, wenn die Teilnahme an einer Schulungs- oder Bildungsveranstaltung Kenntnisse vermittelt, die für die Arbeit des Betriebsrats erforderlich sind. Der Betriebsrat hat bei der Festlegung der zeitlichen Lage der Teilnahme an Schulungs- und Bildungsveranstaltungen die betrieblichen Notwendigkeiten zu berücksichtigen. Er hat durch Beschluss darüber zu entscheiden, welche seiner Mitglieder an einer bestimmten Schulung teilnehmen sollen und dem Arbeitgeber sodann die teilnehmenden Personen und die zeitliche Lage der Schulungs- und Bildungsveranstaltungen rechtzeitig bekannt zu geben. Eine Zustimmung des Arbeitgebers ist nicht erforderlich. Für die Kosten der Schulungsmaßnahme, insbesondere für Kursgebühren, Reise- und Übernachtungskosten muss der Arbeitgeber im Rahmen seiner allgemeinen Kostentragungspflicht gemäß § 40 BetrVG aufkommen. Hält der Arbeitgeber die betrieblichen Notwendigkeiten bei der Festlegung der zeitlichen Lage der Bildungsveranstaltung für nicht ausreichend berücksichtigt, kann er die Einigungsstelle anrufen. Der Spruch der Einigungsstelle ersetzt die Einigung zwischen Arbeitgeber und Betriebsrat. Als erforderliche, durch Schulungen vermittelte Kenntnisse hat die arbeitsgerichtliche Rechtsprechung Grundkenntnisse im Betriebsverfassungsrecht und im allgemeinen Arbeitsrecht anerkannt. Die Zeitdauer einer Schulung im Betriebsverfassungsrecht beträgt in der Regel eine Woche, wobei die Anbieter von Schulungsveranstaltungen oft vier bis sechs oder sieben einwöchige „Grundkurse“ oder „Basisschulungen“ zu Fragen des Betriebsverfassungsrechts anbieten, also zum Beispiel einen Kurs zu allgemeinen Fragen der Betriebsverfassung, einen weiteren Kurs zur Mitbestimmung in sozialen Angelegenheiten, einen dritten zur Mitbestimmung in personellen Angelegenheiten und einen vierten zur Mitbestimmung in wirtschaftlichen Angelegenheiten. Anbieter von Schulungsveranstaltungen sind häufig gewerkschaftsnahe Bildungseinrichtungen, daneben aber auch freie Träger oder auch Anwaltskanzleien. Sind sich Betriebsrat und Arbeitgeber über die Erforderlichkeit einer Schulung bzw. der in ihr vermittelten Kenntnisse nicht einig, können sie diese Frage im arbeitsgerichtlichen Beschlussverfahren klären lassen. Über den in § 37 Abs.6 BetrVG geregelten Anspruch des Betriebsrats hinaus kann gemäß § 37 Abs.7 BetrVG jedes Betriebsratsmitglied an Schulungs- und Bildungsveranstaltungen teilnehmen, falls die oberste Arbeitsbehörde des Landes diese Veranstaltung als geeignet anerkannt hat. Dieser Anspruch auf Teilnahme an Schulungs- und Bildungsveranstaltungen ist auf insgesamt drei Wochen pro Amtszeit des Betriebsratsmitglieds begrenzt. Im Unterschied zu dem Fortbildungsanspruch des Betriebsrats gemäß § 37 Abs.6 BetrVG setzt der Anspruch auf Fortbildung gemäß § 37 Abs.7 BetrVG nicht voraus, dass die Fortbildung für die Betriebsratsarbeit notwendig ist. Es reicht vielmehr aus, dass sie behördlicherseits als „geeignet“ anerkannt ist. Der Arbeitgeber hat hier im Allgemeinen die Kosten einer Teilnahme, d.h. Kursgebühren, Reise- und Übernachtungskosten nicht zu tragen, es sei denn, dass auf der Veranstaltung Kenntnisse vermittelt werden, die für die Betriebsratstätigkeit erforderlich sind. Aus diesem Grunde spielt der aus § 37 Abs.7 BetrVG folgende Anspruch von Betriebsratsmitgliedern auf bezahlte Freistellung in der Praxis keine große Rolle, da für die Anbieter bzw. Träger von Fortbildungsmaßnahmen die Kostentragungspflicht des Arbeitgebers wesentliche Voraussetzung dafür ist, dass überhaupt Bildungsangebote entwickelt und vermarktet werden können. Nähere Informationen zum Thema Schulung und Fortbildung für Betriebsräte finden Sie in dem Artikel ""Handbuch Arbeitsrecht: Betriebsratsschulung"".  "
277;https://www.hensche.de/Rechtsanwalt_Arbeitsrecht_Handbuch_Betriebsratsmitglied.html;In welcher Weise sind Mitglieder des Betriebsrats vor Kündigungen geschützt? ; Betriebsratsmitglieder genießen einen besonder starken Schutz vor Kündigungen. Durch diesen Sonderkündigungsschutz soll erreicht werden, dass Betriebsratsmitglieder ohne Furcht vor einem Verlust des Arbeitsplatzes ihre Aufgaben wahrnehmen können, die hin und wieder zu Konflikten mit dem Arbeitgeber führen. Nähere Informationen zu dem besonderen, für Betriebsratsmitglieder geltenden Kündigungsschutz finden Sie hier: Betriebsrat - Kündigungsschutz.  
278;https://www.hensche.de/Rechtsanwalt_Arbeitsrecht_Handbuch_Betriebsratsmitglied.html;Wo finden Sie mehr zum Thema Mitglied des Betriebsrats? ; Weitere Informationen, die Sie im Zusammenhang mit dem Thema Betriebsratsmitglied interessieren könnten, finden Sie hier: Handbuch Arbeitsrecht: Anfechtung der Wahl zum Betriebsrat Handbuch Arbeitsrecht: Anhörung des Betriebsrats Handbuch Arbeitsrecht: Betriebsrat Handbuch Arbeitsrecht: Betriebsrat - Kündigungsschutz Handbuch Arbeitsrecht: Betriebsratsmitglied - Versetzung Handbuch Arbeitsrecht: Betriebsratsschulung Handbuch Arbeitsrecht: Betriebsratswahl - Amtszeit und Wahlzeitpunkt: Wann wird gewählt? Handbuch Arbeitsrecht: Betriebsratswahl - Arbeitnehmer und Wahlberechtigung: Wer wählt wen? Handbuch Arbeitsrecht: Betriebsratswahl - Betrieb und Betriebsteil: Wo wird gewählt? Handbuch Arbeitsrecht: Betriebsratswahl - Betriebsgröße und Wahlverfahren: Wie wird gewählt? Handbuch Arbeitsrecht: Betriebsratswahl - Größe und Zusammensetzung des Betriebsrats: Wer ist zu wählen? Handbuch Arbeitsrecht: Betriebsratswahl - Wahlvorstand: Wer organisiert die Wahl? Handbuch Arbeitsrecht: Betriebsratswahl - Urnengang und Stimmenauszählung: Wer ist gewählt? Handbuch Arbeitsrecht: Betriebsvereinbarung Handbuch Arbeitsrecht: Mitbestimmung in personellen Angelegenheiten Handbuch Arbeitsrecht: Kündigung - Außerordentliche Kündigung Handbuch Arbeitsrecht: Kündigung - Betriebsbedingte Kündigung Übersicht Handbuch Arbeitsrecht Kommentare unseres Anwaltsteams zu aktuellen Fragen rund um das Thema Betriebsratsmitglied finden Sie hier: Arbeitsrecht aktuell 2020 Arbeitsrecht aktuell: 20/108 Behinderung der Betriebsratswahlen durch den Arbeitgeber Arbeitsrecht aktuell: 20/100 Digitale Betriebsratsversammlung wegen Corona-Krise Arbeitsrecht aktuell: 20/066 Räumung des Betriebsratsbüros durch den Arbeitgeber Arbeitsrecht aktuell 2019 Arbeitsrecht aktuell: 19/166 Betriebsrat und Datenschutz Arbeitsrecht aktuell: 19/011 Betriebsrat steht Einsicht in Gehaltslisten mit Arbeitnehmernamen zu Arbeitsrecht aktuell 2018 Arbeitsrecht aktuell: 18/086 Aufhebungsvertrag mit Abfindung für Betriebsrat Arbeitsrecht aktuell 2017 Arbeitsrecht aktuell: 17/295 Sitzverteilung bei der Betriebsratswahl Arbeitsrecht aktuell: 17/214 Verletzung der Privatsphäre am Arbeitsplatz Arbeitsrecht aktuell: 17/022 Betriebsratstätigkeit als Arbeitszeit im Sinne des Arbeitszeitgesetzes? Arbeitsrecht aktuell 2016 Arbeitsrecht aktuell: 16/221 Einsicht in die Personalakte Arbeitsrecht aktuell: 16/138 Separater Internet- und Telefonanschluss für den Betriebsrat? Arbeitsrecht aktuell: 16/101 Grenzen der Mitbestimmung beim BEM Arbeitsrecht aktuell: 16/017 Abmahnung bei Verstoß gegen Betriebsverfassung Arbeitsrecht aktuell 2015 Arbeitsrecht aktuell: 15/233 Was muss der Betriebsrat beachten, wenn er einem Anwalt einen Auftrag erteilt? Eine vollständige Übersicht unserer Beiträge zum Thema Betriebsratsmitglied finden Sie unter: Urteile und Kommentare: Betriebsratsmitglied Letzte Überarbeitung: 4. Januar 2021 Was können wir für Sie tun? Wenn Sie Fragen im Zusammenhang mit den Rechten und Pflichten der Mitglieder des Betriebsrats haben oder wenn es Probleme mit der Durchführung, Änderung oder Beendigung des Arbeitsverhältnisses eines Betriebsratsmitglieds gibt, beraten wir Sie jederzeit gerne.  Wir unterstützen neben dem betroffenen Betriebsratsmitglied auch gerne den Betriebsrat auf der Grundlage einer entsprechenden Beschlussfassung und Kostenübernahmeerklärung des Arbeitgebers. Je nach Lage des Falles bzw. entsprechend Ihren Wünschen treten wir entweder nach außen nicht in Erscheinung oder aber wir verhandeln in Ihrem Namen mit Ihrem Arbeitgeber bzw. mit den Vertretern der Gesellschafter. Für eine möglichst rasche und effektive Beratung benötigen wir folgende Unterlagen: Arbeitsvertrag des Betriebsratsmitglieds Gehaltsnachweise Schriftverkehr (falls vorhanden) www.hensche.de > Handbuch Arbeitsrecht > Arbeitsrecht - B Bewertung: 4.5 von 5 Sternen (12 Bewertungen) Autorenprofil 
279;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Was ist eine Versetzung und warum sind Betriebsratsmitglieder davor in besonderer Weise geschützt? ;" Eine Versetzung im Sinne des Betriebsverfassungsgesetzes (BetrVG) ist gemäß § 95 Abs.3 BetrVG die Zuweisung eines anderen Arbeitsbereichs durch den Arbeitgeber, d.h. zum Beispiel die Übertragung anderer Arbeitsaufgaben, die Zuordnung zu einer anderen Betriebsabteilung oder die Anweisung, in einem anderen Betrieb oder einer anderen Stadt zu arbeiten, die voraussichtlich länger als einen Monat dauert oder mit einer erheblichen Änderung der Arbeitsumstände verbunden ist. Werden Betriebsratsmitglieder in einer solchen Weise versetzt, kann darin im schlimmsten Fall eine kalte Kündigung liegen. Dann wird sich der Betroffene überlegen, ob er nicht vielleicht von sich aus kündigen sollte, oder er wird dauerhaft arbeitsunfähig. BEISPIEL: Der Arbeitgeber unterhält mehrere Betriebe in Deutschland. Da ihn der Betriebsrat des Münchner Betriebs besonders oft und nachhaltig ""ärgert"" und sich dabei vor allem zwei Betriebsratsmitglieder hervortun, versetzt er diese beiden in seinen Frankfurter Betrieb. Da die Betroffenen verheiratet sind und schulpflichtige Kinder haben, kommt ein Ortswechsel für sie nicht wirklich in Betracht. Wie dieses Beispiel zeigt, kann die Versetzung eines Betriebsratsmitglieds nicht nur an dem Arbeitsverhältnis der betroffenen Betriebsratsmitglieder sägen und damit an der arbeitsvertraglichen Grundlage des Engagements im Betriebsrat, sondern auch dann die personelle Zusammensetzung des Betriebsrats verändern, wenn das Arbeitsverhältnis des versetzten Betriebsratsmitglieds weiterhin besteht: Denn wenn hier im Beispiel die beiden versetzten Münchner Betriebsratsmitglieder nach Frankfurt gehen würden, wären sie dem dortigen Betrieb zuzuordnen und würden daher aus dem Münchner Betriebsrat ausscheiden, d.h. sie würden ihr Amt als Betriebsrat verlieren. Aus diesen Gründen sieht § 103 Abs.3 BetrVG vor, dass der Arbeitgeber vorab die Zustimmung des Betriebsrats (d.h. des Gremiums) einholen muss, wenn er ein Betriebsratsmitglied versetzen will, und wenn die Versetzung zu einem Verlust des Amtes oder der Wählbarkeit führen würde. Die vorherige Zustimmung des Betriebsrats gemäß § 103 Abs.3 BetrVG ist ausnahmsweise dann nicht erforderlich, wenn das betroffene Betriebsratsmitglied mit seiner Versetzung einverstanden ist. Dieser Schutz vor Versetzungen gilt auch für Mitglieder der Jugend- und Auszubildendenvertretung, der Bordvertretung und des Seebetriebsrats, des Wahlvorstands sowie für Wahlbewerber.  "
280;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Wie sind Betriebsratsmitglieder vor Versetzungen individualrechtlich geschützt? ;" Der Schutz von Betriebsratsmitgliedern gegenüber Versetzungen gemäß § 103 Abs.3 BetrVG ergänzt den Schutz, den alle Arbeitnehmer und daher auch Betriebsratsmitglieder auf individualrechtlicher Grundlage gegenüber Versetzungen haben, d.h. auf der Grundlage ihres Arbeitsvertrags und der allgemeinen arbeitsrechtlichen Spielregeln, die der Arbeitgeber bei Versetzungen beachten muss. Da der Arbeitgeber mit einer Versetzung sein Weisungsrecht ausübt, muss er bei einer Versetzung die Grenzen seines Weisungsrechts einhalten. Zum Weisungsrecht schreibt § 106 Gewerbeordnung (GewO) vor, dass der Arbeitgeber einerseits Inhalt, Ort und Zeit der Arbeitsleistung einseitig bestimmen kann, dabei aber den im Arbeitsvertrag festgelegten Aufgabenkreis beachten muss sowie auch gesetzliche, tarifliche oder in einer Betriebsvereinbarung enthaltene Regelungen, und in fairer Weise die Interessen des Arbeitnehmers berücksichtigen muss, d.h. seine Weisung bzw. Versetzung muss ""billigem Ermessen"" entsprechen. Hält sich der Arbeitgeber nicht an diese Spielregeln, ist die Versetzung bereits individualrechtlich bzw. arbeitsvertraglich unzulässig. Das hat zur Folge, dass sich das betroffene Betriebsratsmitglied gegen eine solche Versetzung im arbeitsgerichtlichen Urteilsverfahren zur Wehr setzen kann. Nähere Informationen hierzu finden Sie auf dieser Webseite unter ""Arbeitsvertrag und allgemeine Geschäftsbedingungen (AGB) - Versetzungsvorbehalt, Versetzungsklausel"", ""Weisungsrecht"", ""Versetzung"" und ""Was tun bei Versetzung?"".  "
281;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Was unterscheidet den Schutz gegenüber Versetzungen gemäß § 99 BetrVG von dem Schutz gemäß § 103 Abs.3 BetrVG? ;" Wenn der Arbeitgeber einen Arbeitnehmer im Sinne von § 95 Abs.3 BetrVG versetzen will, und wenn es in seinem Betrieb einen Betriebsrat gibt, und wenn er dort mehr als 20 Arbeitnehmer beschäftigt, braucht er gemäß § 99 Abs.1 Satz 1 BetrVG immer die vorherige Zustimmung des Betriebsrats zu der geplanten Versetzung. Daher fragt sich, worin der besondere Schutz vor Versetzungen liegt, den Betriebsratsmitglieder auf der Grundlage von § 103 Abs.3 BetrVG genießen. Schließlich muss der Arbeitgeber auf der Grundlage beider Paragraphen die vorherige Zustimmung des Betriebsrats einholen. Der Unterschied liegt zwischen diesen beiden Vorschriften liegt vor allem in folgenden Punkten: Will der Betriebsrat die Zustimmung zu einer geplanten Versetzung auf der Grundlage von § 99 BetrVG verweigern, kann er das nicht ohne Begründung machen, sondern muss sich auf die in § 99 BetrVG genannten Gründe für einen Widerspruch berufen, und er muss diese Widerspruchsgründe dem Arbeitgeber gegenüber auch konkret ""durchbuchstabieren"". Demgegenüber braucht der Betriebsrat für eine Verweigerung seiner Zustimmung gemäß § 103 Abs.3 BetrVG keine besonderen Gründe. Verweigert der Betriebsrat die Zustimmung zu einer Versetzung auf Basis von § 99 BetrVG, kann der Arbeitgeber die Versetzung trotzdem als vorläufige Maßnahme auf der Grundlage von § 100 BetrVG durchführen. In diesem Fall muss der Arbeitgeber zwar vor das Arbeitsgericht ziehen, aber während des Prozesses kann er die Versetzung weiter vorläufig aufrecht erhalten. Ein Recht zur vorläufigen Versetzung eines Betriebsratsmitglieds auf der Grundlage von § 103 Abs.3 BetrVG hat der Arbeitgeber dagegen nicht. Vielmehr muss der Arbeitgeber, wenn der Betriebsrat seine Zustimmung gemäß § 103 Abs.3 BetrVG verweigert, die Zustimmung vom Arbeitsgericht ersetzen lassen und darf die Versetzung erst dann durchführen, wenn er den Prozess rechtskräftig gewonnen hat. Der Schutz von Betriebsratsmitgliedern vor Versetzungen gemäß § 103 Abs.3 BetrVG ist daher wesentlich stärker als der ""normale"" Schutz vor Versetzungen gemäß § 99 BetrVG. Nähere Informationen zum Streit um Versetzungen auf der Grundlage von § 99 BetrVG finden Sie auf dieser Webseite unter ""Versetzung"" und ""Mitbestimmung in personellen Angelegenheiten"". Der Schutz von Betriebsratsmitglieder vor Versetzungen auf der Grundlage von § 103 Abs.3 BetrVG wurde 2001 in das BetrVG aufgenommen und ist dem Kündigungsschutz von Betriebsratsmitgliedern bei außerordentlichen Kündigungen nachgebildet. Sowohl bei der außerordentlichen Kündigung als auch bei der Versetzung eines Betriebsratsmitglieds braucht der Arbeitgeber die Vorab-Zustimmung des Betriebsrats, und er muss die Zustimmung vom Arbeitsgericht ersetzen lassen, wenn sie vom Betriebsrat verweigert wird.  "
282;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Wann richtet sich die Zustimmung des Betriebsrats zur Versetzung eines Betriebsratsmitglieds nach § 103 Abs.3 BetrVG? ;" Nicht jede geplante Versetzung eines Betriebsratsmitglieds hat zur Folge, dass der Arbeitgeber die vorherige Zustimmung des Betriebsrats gemäß § 103 Abs.3 BetrVG braucht. Das ist nur dann der Fall, wenn die Versetzung zu einem Verlust des Amtes oder der Wählbarkeit führen würde, wobei ein Einverständnis des betroffenen Betriebsratsmitglieds die Zustimmungspflicht gemäß § 103 Abs.3 BetrVG entfallen lässt. BEISPIEL: Der Arbeitgeber möchte ein unbequemes Betriebsratsmitglied von Hamburg nach Köln versetzen und bietet ihm eine entsprechende Vertragsänderung mit einer Gehaltserhöhung zum Ausgleich vermehrter Haushalts- und Reisekosten an. Für den Fall, dass das Betriebsratsmitglied mit der Versetzung nicht einverstanden sein sollte, stellt der Arbeitgeber in Aussicht, die gesamte Hamburger Vertriebsabteilung, in der das Betriebsratsmitglied mit drei Kollegen arbeitet, zu schließen und den Vertrieb künftig nur noch in Köln abzuwickeln. Das Betriebsratsmitglied unterschreibt die Vertragsänderung erst einmal nicht, erklärt sich aber grundsätzlich zum Ortswechsel bereit, um die Schließung der Hamburger Vertriebsabteilung zu verhindern. In diesem Fall muss der Arbeitgeber die vorherige Zustimmung des Betriebsrats auf der Grundlage von § 103 Abs.3 BetrVG einholen. Das ""Einverständnis"" des Betriebsratsmitglieds zählt hier nicht. Der Begriff ""Versetzung"" im Sinne von § 95 Abs.3 BetrVG, der auch für § 103 Abs.3 BetrVG maßgeblich ist, erfasst nämlich auch einvernehmliche Änderungen des Arbeitsortes. Daher ist auch die Einschränkung in § 103 Abs.3 Satz 2 BetrVG, wonach das Zustimmungserfordernis nicht gilt, ""wenn der betroffene Arbeitnehmer mit der Versetzung einverstanden ist"", im Sinne der Rechtsprechung zu § 95 Abs.3 BetrVG zu verstehen. Danach liegt eine Versetzung nur dann nicht vor, wenn der Wechsel von Arbeitsort oder Arbeitsumständen auf dem freien Wunsch bzw. auf dem Betreiben des Arbeitnehmers beruht. Gerichtlich noch nicht abschließend geklärt ist die Frage, ob § 103 Abs.3 BetrVG auch dann anzuwenden ist, wenn ein Betriebsratsmitglied eine ordentliche Änderungskündigung aus betriebsbedingten Gründen gemäß § 15 Abs.4 oder Abs.5 Kündigungsschutzgesetz (KSchG) erhalten hat, d.h. eine Änderungskündigung mit Ortswechselangebot infolge einer Betriebsschließung oder Betriebsabteilungsschließung, und wenn es das Ortswechselangebot unter dem Vorbehalt des § 2 KSchG vorläufig angenommen hat. Hier meint das Landesarbeitsgericht (LAG) Nürnberg, der Arbeitgeber brauche nur die Zustimmung des Betriebsrats auf der Grundlage von § 99 BetrVG (wir berichteten in Arbeitsrecht aktuell: 14/151 Versetzung eines Betriebsratsmitglieds).  "
283;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Wann richtet sich die Zustimmung des Betriebsrats zur Versetzung eines Betriebsratsmitglieds nach § 99 BetrVG? ;" Wie erwähnt braucht der Arbeitgeber in mitbestimmten Betrieben mit mehr als 20 Arbeitnehmern so oder so die vorherige Zustimmung des Betriebsrats zu geplanten Versetzungen, nämlich aufgrund von § 99 Abs.1 Satz 1 BetrVG. Solche geplanten Versetzungen können auch Betriebsratsmitglieder betreffen, falls die speziellen Voraussetzungen von § 103 Abs.3 Satz 2 BetrVG nicht vorliegen, d.h. wenn die beabsichtigte Versetzung nicht zum Verlust von Amt oder Wählbarkeit führen würde. BEISPIEL: Der Arbeitgeber möchte ein (missliebiges) Betriebsratsmitglied aus der Produktion in die Logistik versetzen, was zu einem Ortswechsel innerhalb Berlins führt. Anstatt wie bisher in der Spandauer Fertigungshalle muss das Betriebsratsmitglied jetzt im Lager arbeiten, und das befindet sich in Neukölln. Lager und Fertigungshalle sind Betriebsstätten desselben Berliner Betriebs. Hier im Beispiel ändert die Versetzung in das Neuköllner Lager nichts daran, dass der Betroffene weiterhin Mitglied des Berliner Betriebsrats bleibt. Daher muss der Arbeitgeber ""nur"" die Zustimmung des Betriebsrats auf der Grundlage von § 99 BetrVG einholen. Der Betriebsrat könnte dann der beabsichtigten Versetzung widersprechen und sich bei verlängerten Wegezeiten für den Betroffenen z.B. auf den Widerspruchsgrund des § 99 Abs.2 Nr.4 BetrVG berufen, d.h. argumentieren, dass das Betriebsratsmitglied durch die Versetzung benachteiligt würde, ohne dass dies aus betrieblichen oder in der Person des Betroffenen liegenden Gründen gerechtfertigt ist.  "
284;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Wann ist die Versetzung eines Betriebsratsmitglieds auch unter Berücksichtigung seiner Stellung als Betriebsrat betrieblich notwendig? ;" Verweigert der Betriebsrat die Zustimmung zu der geplanten Versetzung eines seiner Mitglieder in einen anderen Betrieb, weil er das Ausscheiden des betroffenen Betriebsratsmitglieds aus dem Betriebsrat verhindern will, muss der Arbeitgeber vor das Arbeitsgericht ziehen und im Beschlussverfahren beantragen, dass die Zustimmung des Betriebsrats durch gerichtliche Entscheidung ersetzt wird. In diesem Verfahren ist neben dem Arbeitgeber der Betriebsrat und auch das von der geplanten Versetzung betroffene Betriebsratsmitglied zu beteiligen. Bei seiner Entscheidung über den Zustimmungsersetzungsantrag des Arbeitgebers muss das Arbeitsgericht gemäß § 103 Abs.3 Satz 2 BetrVG überprüfen, ob die geplante Versetzung ""auch unter Berücksichtigung der betriebsverfassungsrechtlichen Stellung des betroffenen Arbeitnehmers aus dringenden betrieblichen Gründen notwendig ist."" Dabei sollte das Arbeitsgericht in einem ersten Schritt nachprüfen, ob die vom Arbeitgeber geplante Versetzung möglicherweise individualrechtlich unzulässig ist, d.h. eine Versetzung gegen den Arbeitsvertrag und/oder gegen § 106 GewO verstoßen würde, und ob die in § 99 Abs.2 BetrVG genannten Widerspruchsgründe vorliegen. Ist das der Fall, ist der Antrag des Arbeitgebers zurückzuweisen, weil eine schon individualrechtlich unzulässige Versetzung eines Betriebsratsmitglieds nicht ""aus dringenden betrieblichen Gründen notwendig"" sein kann. Das Gleiche gilt, wenn ein Widerspruchsgrund im Sinne von § 99 Abs.2 BetrVG vorliegt. Wäre die geplante Versetzung individualrechtlich zulässig und liegt auch kein Widerspruchsgrund im Sinne von § 99 Abs.2 BetrVG vor, kommt es auf eine umfassende Interessenabwägung zwischen dem Versetzungsinteresse und dem Interesse des Betriebsrats an der personellen Kontinuität seiner Arbeit an. Ist die Beschäftigungsmöglichkeit im bisherigen Betrieb weggefallen, ist z.B. zu überlegen, ob das Betriebsratsmitglied nach zumutbaren Umschulungsmaßnahmen auf einem anderen Arbeitsplatz weiter eingesetzt werden könnte.  "
285;https://www.hensche.de/Betriebsratsmitglied_Versetzung_Arbeitsrecht_Betriebsratsmitglied.html;Was tun, wenn der Arbeitgeber ein Betriebsratsmitglied ohne vorherige Zustimmung gemäß § 103 Abs.3 BetrVG versetzt? ; Versetzt der Arbeitgeber ein Betriebsratsmitglied unter Verstoß gegen § 103 Abs.3 BetrVG in einen anderen Betrieb, d.h. ohne vorherige Zustimmung des Betriebsrats, kann der Betriebsrat den Arbeitgeber im arbeitsgerichtlichen Eilverfahren dazu verpflichten, die Versetzung nicht aufrecht zu erhalten. In diesem Eilverfahren kommt es nur darauf an, ob die Versetzung unter § 103 Abs.3 BetrVG fällt und ob eine wirksame Zustimmung des Betriebsrats vorliegt oder nicht. Liegt sie nicht vor, ist dem Antrag des Betriebsrats stattzugeben.  
